"#","source","filename","r2_key","r2_public_url","status","size_kb"
"50","colors/fdd00831-d437-4fef-8b04-951a5667fbfa/Black img2","1780455996079_asl3m.jpg","nyvarastore/products/1780455996079_asl3m.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780455996079_asl3m.jpg","copied","42.2"
"51","colors/fdd00831-d437-4fef-8b04-951a5667fbfa/Silver img1","1780456004439_5fh4t.jpg","nyvarastore/products/1780456004439_5fh4t.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780456004439_5fh4t.jpg","copied","41.7"
"52","colors/fdd00831-d437-4fef-8b04-951a5667fbfa/Silver img2","1780456008245_pluwbp.jpg","nyvarastore/products/1780456008245_pluwbp.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780456008245_pluwbp.jpg","copied","45.5"
"53","colors/fdd00831-d437-4fef-8b04-951a5667fbfa/Gold img1","1780456010359_tuhhd.jpg","nyvarastore/products/1780456010359_tuhhd.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780456010359_tuhhd.jpg","copied","43.3"
"54","colors/fdd00831-d437-4fef-8b04-951a5667fbfa/Gold img2","1780456012667_mqwpgn.jpg","nyvarastore/products/1780456012667_mqwpgn.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780456012667_mqwpgn.jpg","copied","45.3"
"55","colors/215f6fed-5d22-4e60-bf4b-07716481279c/ img1","1780023527179_vcz29.jpeg","nyvarastore/products/1780023527179_vcz29.jpeg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780023527179_vcz29.jpeg","copied","2041.9"
"56","colors/215f6fed-5d22-4e60-bf4b-07716481279c/ img2","1780023587317_sgd03k.jpeg","nyvarastore/products/1780023587317_sgd03k.jpeg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780023587317_sgd03k.jpeg","copied","2058.9"
"57","colors/33318058-8c10-4df0-ac90-fdeaa5071a5a/ img1","1780855857586_3j410h.webp","nyvarastore/products/1780855857586_3j410h.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780855857586_3j410h.webp","copied","16.7"
"58","colors/33318058-8c10-4df0-ac90-fdeaa5071a5a/ img2","1780855874319_8akvh.webp","nyvarastore/products/1780855874319_8akvh.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780855874319_8akvh.webp","copied","15.8"
"59","colors/33318058-8c10-4df0-ac90-fdeaa5071a5a/ img1","1780855907126_9yfp6o.webp","nyvarastore/products/1780855907126_9yfp6o.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780855907126_9yfp6o.webp","copied","16.9"
"60","colors/33318058-8c10-4df0-ac90-fdeaa5071a5a/ img2","1780855918480_nl4qpj.webp","nyvarastore/products/1780855918480_nl4qpj.webp","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780855918480_nl4qpj.webp","copied","19.4"
"61","colors/2c047f77-53b4-4cdd-82ce-1649c091f834/Noir img2","1780454255405_y4ol5p.jpg","nyvarastore/products/1780454255405_y4ol5p.jpg","https://pub-96ecbfcde03642529999eddf062d31f5.r2.dev/nyvarastore/products/1780454255405_y4ol5p.jpg","copied","47.7"
